Type of access,API,file path,Team owner
AsCurrentUser,Sql.query,query,src/platform/plugins/shared/data/server/search/strategies/sql_search/sql_search_strategy.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,Eql.search,search,src/platform/plugins/shared/data/server/search/strategies/eql_search/eql_search_strategy.ts,elastic/kibana-visualizations,elastic/kibana-data-discovery
AsCurrentUser,scriptsPainlessExecute,scriptsPainlessExecute,src/platform/plugins/shared/data_view_field_editor/server/routes/field_preview.ts,elastic/kibana-data-discovery
AsCurrentUser,search,search,src/platform/plugins/shared/data_view_management/server/routes/preview_scripted_field.ts,elastic/kibana-data-discovery
AsCurrentUser,Indices.resolveIndex,resolveIndex,src/platform/plugins/shared/data_view_management/server/routes/resolve_index.ts,elastic/kibana-data-discovery
AsCurrentUser,fieldCaps,fieldCaps,src/platform/plugins/shared/data_views/server/fetcher/lib/es_api.ts,elastic/kibana-data-discovery
AsCurrentUser,fieldCaps,fieldCaps,src/platform/plugins/shared/data_views/server/fetcher/index_patterns_fetcher.test.ts,elastic/kibana-data-discovery
AsCurrentUser,search,search,x-pack/platform/plugins/shared/dataset_quality/server/utils/create_dataset_quality_es_client.ts,elastic/obs-ux-logs-team
AsCurrentUser,msearch,msearch,x-pack/platform/plugins/shared/dataset_quality/server/utils/create_dataset_quality_es_client.ts,elastic/obs-ux-logs-team
AsCurrentUser,fieldCaps,fieldCaps,x-pack/platform/plugins/shared/dataset_quality/server/utils/create_dataset_quality_es_client.ts,elastic/obs-ux-logs-team
AsCurrentUser,search,search,x-pack/solutions/security/plugins/ecs_data_quality_dashboard/server/lib/fetch_available_indices.ts,elastic/security-threat-hunting-explore
AsCurrentUser,search,search,x-pack/solutions/security/plugins/ecs_data_quality_dashboard/server/routes/results/get_index_results.test.ts,elastic/security-threat-hunting-explore
AsCurrentUser,msearch,msearch,x-pack/solutions/security/plugins/ecs_data_quality_dashboard/server/lib/get_unallowed_field_values.ts,elastic/security-threat-hunting-explore
AsInternal,search,search,x-pack/solutions/security/plugins/ecs_data_quality_dashboard/server/routes/results/get_index_results_latest.ts,elastic/security-threat-hunting-explore
